ID,s1_path,s2_path,s1_gain,s2_gain,enr_path
14,/mnt/data/wsj0.8k/si_dt_05/22g/22gc0112.wav,/mnt/data/wsj0.8k/si_et_05/445/445c0207.wav,0.36454,-0.36454,/mnt/data/wsj0.8k/si_dt_05/22g/22gc0109.wav
15,/mnt/data/wsj0.8k/si_dt_05/421/421c020x.wav,/mnt/data/wsj0.8k/si_et_05/444/444c020n.wav,2.4971,-2.4971,/mnt/data/wsj0.8k/si_dt_05/421/421o0302.wav
16,/mnt/data/wsj0.8k/si_dt_05/053/053a050f.wav,/mnt/data/wsj0.8k/si_et_05/443/443o0314.wav,0.93264,-0.93264,/mnt/data/wsj0.8k/si_dt_05/053/053o0213.wav
17,/mnt/data/wsj0.8k/si_dt_05/22h/22ha0103.wav,/mnt/data/wsj0.8k/si_dt_05/422/422c020y.wav,1.0593,-1.0593,/mnt/data/wsj0.8k/si_dt_05/22h/22hc0107.wav
18,/mnt/data/wsj0.8k/si_dt_05/421/421c0212.wav,/mnt/data/wsj0.8k/si_dt_05/423/423a0104.wav,1.0287,-1.0287,/mnt/data/wsj0.8k/si_dt_05/421/421o0306.wav
19,/mnt/data/wsj0.8k/si_et_05/444/444c020o.wav,/mnt/data/wsj0.8k/si_dt_05/421/421a010s.wav,0.97641,-0.97641,/mnt/data/wsj0.8k/si_et_05/444/444c020s.wav
20,/mnt/data/wsj0.8k/si_dt_05/052/052o020m.wav,/mnt/data/wsj0.8k/si_et_05/441/441o030l.wav,0.40731,-0.40731,/mnt/data/wsj0.8k/si_dt_05/052/052o020x.wav
21,/mnt/data/wsj0.8k/si_dt_05/052/052a050i.wav,/mnt/data/wsj0.8k/si_et_05/445/445c0211.wav,2.4816,-2.4816,/mnt/data/wsj0.8k/si_dt_05/052/052a050u.wav
22,/mnt/data/wsj0.8k/si_dt_05/053/053c010z.wav,/mnt/data/wsj0.8k/si_dt_05/422/422o030x.wav,0.70111,-0.70111,/mnt/data/wsj0.8k/si_dt_05/053/053a0511.wav
23,/mnt/data/wsj0.8k/si_dt_05/053/053o020k.wav,/mnt/data/wsj0.8k/si_dt_05/22g/22go0111.wav,1.3781,-1.3781,/mnt/data/wsj0.8k/si_dt_05/053/053a0509.wav
24,/mnt/data/wsj0.8k/si_dt_05/422/422o0304.wav,/mnt/data/wsj0.8k/si_dt_05/052/052a050o.wav,0.13358,-0.13358,/mnt/data/wsj0.8k/si_dt_05/422/422o0305.wav
25,/mnt/data/wsj0.8k/si_et_05/442/442o0306.wav,/mnt/data/wsj0.8k/si_dt_05/053/053a0506.wav,2.3923,-2.3923,/mnt/data/wsj0.8k/si_et_05/442/442o0309.wav
26,/mnt/data/wsj0.8k/si_dt_05/22g/22gc010h.wav,/mnt/data/wsj0.8k/si_dt_05/420/420c020j.wav,2.0104,-2.0104,/mnt/data/wsj0.8k/si_dt_05/22g/22ga0114.wav
27,/mnt/data/wsj0.8k/si_dt_05/22h/22hc010z.wav,/mnt/data/wsj0.8k/si_dt_05/22g/22gc010x.wav,0.087779,-0.087779,/mnt/data/wsj0.8k/si_dt_05/22h/22ha010t.wav
28,/mnt/data/wsj0.8k/si_et_05/443/443o0313.wav,/mnt/data/wsj0.8k/si_dt_05/053/053c010u.wav,0.61777,-0.61777,/mnt/data/wsj0.8k/si_et_05/443/443c0210.wav
29,/mnt/data/wsj0.8k/si_dt_05/22h/22ho010w.wav,/mnt/data/wsj0.8k/si_dt_05/051/051c010o.wav,2.007,-2.007,/mnt/data/wsj0.8k/si_dt_05/22h/22hc0105.wav
30,/mnt/data/wsj0.8k/si_dt_05/421/421a0105.wav,/mnt/data/wsj0.8k/si_dt_05/423/423a010m.wav,1.0119,-1.0119,/mnt/data/wsj0.8k/si_dt_05/421/421a010j.wav
31,/mnt/data/wsj0.8k/si_et_05/445/445o030t.wav,/mnt/data/wsj0.8k/si_dt_05/22h/22hc010b.wav,1.4592,-1.4592,/mnt/data/wsj0.8k/si_et_05/445/445c0211.wav
32,/mnt/data/wsj0.8k/si_et_05/442/442c0215.wav,/mnt/data/wsj0.8k/si_et_05/446/446o0302.wav,0.24366,-0.24366,/mnt/data/wsj0.8k/si_et_05/442/442c020k.wav
33,/mnt/data/wsj0.8k/si_et_05/441/441o0313.wav,/mnt/data/wsj0.8k/si_et_05/440/440c0204.wav,2.0048,-2.0048,/mnt/data/wsj0.8k/si_et_05/441/441c0215.wav
34,/mnt/data/wsj0.8k/si_dt_05/051/051o020a.wav,/mnt/data/wsj0.8k/si_dt_05/423/423o030s.wav,2.3917,-2.3917,/mnt/data/wsj0.8k/si_dt_05/051/051o020d.wav
35,/mnt/data/wsj0.8k/si_et_05/447/447c020a.wav,/mnt/data/wsj0.8k/si_dt_05/050/050a050h.wav,0.25387,-0.25387,/mnt/data/wsj0.8k/si_et_05/447/447c020d.wav
36,/mnt/data/wsj0.8k/si_et_05/440/440o0303.wav,/mnt/data/wsj0.8k/si_et_05/443/443o0304.wav,2.2059,-2.2059,/mnt/data/wsj0.8k/si_et_05/440/440o030k.wav
37,/mnt/data/wsj0.8k/si_et_05/445/445c020b.wav,/mnt/data/wsj0.8k/si_dt_05/422/422o0309.wav,1.9232,-1.9232,/mnt/data/wsj0.8k/si_et_05/445/445c020w.wav
38,/mnt/data/wsj0.8k/si_dt_05/22h/22ha010r.wav,/mnt/data/wsj0.8k/si_et_05/446/446c020o.wav,0.1879,-0.1879,/mnt/data/wsj0.8k/si_dt_05/22h/22ho010r.wav
39,/mnt/data/wsj0.8k/si_et_05/444/444c020u.wav,/mnt/data/wsj0.8k/si_dt_05/053/053a050x.wav,1.0117,-1.0117,/mnt/data/wsj0.8k/si_et_05/444/444c020e.wav
40,/mnt/data/wsj0.8k/si_et_05/445/445o030g.wav,/mnt/data/wsj0.8k/si_dt_05/421/421c0202.wav,0.89549,-0.89549,/mnt/data/wsj0.8k/si_et_05/445/445o0311.wav
41,/mnt/data/wsj0.8k/si_et_05/444/444c0203.wav,/mnt/data/wsj0.8k/si_et_05/445/445c020c.wav,2.4753,-2.4753,/mnt/data/wsj0.8k/si_et_05/444/444o0304.wav
42,/mnt/data/wsj0.8k/si_dt_05/050/050o0203.wav,/mnt/data/wsj0.8k/si_et_05/443/443c020r.wav,0.11331,-0.11331,/mnt/data/wsj0.8k/si_dt_05/050/050o020v.wav
43,/mnt/data/wsj0.8k/si_et_05/444/444c020v.wav,/mnt/data/wsj0.8k/si_dt_05/423/423o030e.wav,1.5892,-1.5892,/mnt/data/wsj0.8k/si_et_05/444/444c020y.wav
44,/mnt/data/wsj0.8k/si_et_05/441/441o030w.wav,/mnt/data/wsj0.8k/si_dt_05/053/053o020d.wav,0.56176,-0.56176,/mnt/data/wsj0.8k/si_et_05/441/441c020t.wav
45,/mnt/data/wsj0.8k/si_et_05/440/440c0214.wav,/mnt/data/wsj0.8k/si_dt_05/051/051o020w.wav,1.4652,-1.4652,/mnt/data/wsj0.8k/si_et_05/440/440o030h.wav
46,/mnt/data/wsj0.8k/si_dt_05/22g/22gc0114.wav,/mnt/data/wsj0.8k/si_dt_05/422/422o0303.wav,0.048137,-0.048137,/mnt/data/wsj0.8k/si_dt_05/22g/22go010f.wav
47,/mnt/data/wsj0.8k/si_et_05/443/443c020s.wav,/mnt/data/wsj0.8k/si_et_05/446/446o0312.wav,1.8007,-1.8007,/mnt/data/wsj0.8k/si_et_05/443/443c020w.wav
48,/mnt/data/wsj0.8k/si_et_05/442/442c020i.wav,/mnt/data/wsj0.8k/si_et_05/443/443o030x.wav,0.010825,-0.010825,/mnt/data/wsj0.8k/si_et_05/442/442o030f.wav
49,/mnt/data/wsj0.8k/si_dt_05/22g/22ga010e.wav,/mnt/data/wsj0.8k/si_dt_05/051/051c0115.wav,0.51468,-0.51468,/mnt/data/wsj0.8k/si_dt_05/22g/22gc010a.wav
50,/mnt/data/wsj0.8k/si_et_05/446/446c020r.wav,/mnt/data/wsj0.8k/si_dt_05/423/423c020u.wav,1.1168,-1.1168,/mnt/data/wsj0.8k/si_et_05/446/446o030v.wav
51,/mnt/data/wsj0.8k/si_et_05/446/446o030k.wav,/mnt/data/wsj0.8k/si_dt_05/051/051c010w.wav,1.7305,-1.7305,/mnt/data/wsj0.8k/si_et_05/446/446c020n.wav
52,/mnt/data/wsj0.8k/si_dt_05/053/053o020r.wav,/mnt/data/wsj0.8k/si_dt_05/050/050a050n.wav,0.21241,-0.21241,/mnt/data/wsj0.8k/si_dt_05/053/053o020a.wav
53,/mnt/data/wsj0.8k/si_et_05/444/444c0203.wav,/mnt/data/wsj0.8k/si_dt_05/053/053c010n.wav,1.2986,-1.2986,/mnt/data/wsj0.8k/si_et_05/444/444o0308.wav
54,/mnt/data/wsj0.8k/si_et_05/446/446o0319.wav,/mnt/data/wsj0.8k/si_et_05/447/447c0210.wav,2.2664,-2.2664,/mnt/data/wsj0.8k/si_et_05/446/446o0303.wav
55,/mnt/data/wsj0.8k/si_dt_05/420/420o030k.wav,/mnt/data/wsj0.8k/si_et_05/440/440o030s.wav,2.2026,-2.2026,/mnt/data/wsj0.8k/si_dt_05/420/420c020v.wav
56,/mnt/data/wsj0.8k/si_dt_05/421/421o0307.wav,/mnt/data/wsj0.8k/si_dt_05/420/420o0301.wav,1.5505,-1.5505,/mnt/data/wsj0.8k/si_dt_05/421/421o030t.wav
57,/mnt/data/wsj0.8k/si_dt_05/051/051a050c.wav,/mnt/data/wsj0.8k/si_et_05/443/443o030h.wav,0.4903,-0.4903,/mnt/data/wsj0.8k/si_dt_05/051/051c0106.wav
58,/mnt/data/wsj0.8k/si_dt_05/22g/22gc010v.wav,/mnt/data/wsj0.8k/si_dt_05/050/050a050i.wav,0.76199,-0.76199,/mnt/data/wsj0.8k/si_dt_05/22g/22go0116.wav
59,/mnt/data/wsj0.8k/si_dt_05/051/051o020c.wav,/mnt/data/wsj0.8k/si_et_05/445/445o0305.wav,0.27109,-0.27109,/mnt/data/wsj0.8k/si_dt_05/051/051o020i.wav
60,/mnt/data/wsj0.8k/si_dt_05/22g/22ga0111.wav,/mnt/data/wsj0.8k/si_dt_05/050/050a0507.wav,2.1333,-2.1333,/mnt/data/wsj0.8k/si_dt_05/22g/22go0111.wav
61,/mnt/data/wsj0.8k/si_dt_05/422/422a010x.wav,/mnt/data/wsj0.8k/si_dt_05/421/421c0203.wav,2.3571,-2.3571,/mnt/data/wsj0.8k/si_dt_05/422/422a010m.wav
62,/mnt/data/wsj0.8k/si_et_05/440/440c0204.wav,/mnt/data/wsj0.8k/si_dt_05/053/053c010d.wav,0.32859,-0.32859,/mnt/data/wsj0.8k/si_et_05/440/440c0212.wav
63,/mnt/data/wsj0.8k/si_et_05/442/442c0210.wav,/mnt/data/wsj0.8k/si_et_05/444/444o030n.wav,1.5014,-1.5014,/mnt/data/wsj0.8k/si_et_05/442/442c020r.wav
64,/mnt/data/wsj0.8k/si_dt_05/051/051a0507.wav,/mnt/data/wsj0.8k/si_dt_05/423/423c0207.wav,0.12155,-0.12155,/mnt/data/wsj0.8k/si_dt_05/051/051c010e.wav
65,/mnt/data/wsj0.8k/si_dt_05/421/421c020a.wav,/mnt/data/wsj0.8k/si_et_05/443/443c020p.wav,2.0997,-2.0997,/mnt/data/wsj0.8k/si_dt_05/421/421a010v.wav
66,/mnt/data/wsj0.8k/si_dt_05/052/052a050j.wav,/mnt/data/wsj0.8k/si_dt_05/423/423a0106.wav,0.086419,-0.086419,/mnt/data/wsj0.8k/si_dt_05/052/052c010l.wav
67,/mnt/data/wsj0.8k/si_et_05/445/445o0304.wav,/mnt/data/wsj0.8k/si_et_05/440/440c020q.wav,0.21589,-0.21589,/mnt/data/wsj0.8k/si_et_05/445/445c020o.wav
68,/mnt/data/wsj0.8k/si_dt_05/423/423c0203.wav,/mnt/data/wsj0.8k/si_et_05/441/441c020v.wav,1.4978,-1.4978,/mnt/data/wsj0.8k/si_dt_05/423/423o0311.wav
69,/mnt/data/wsj0.8k/si_et_05/445/445o030y.wav,/mnt/data/wsj0.8k/si_dt_05/421/421o0307.wav,1.5004,-1.5004,/mnt/data/wsj0.8k/si_et_05/445/445o030n.wav
70,/mnt/data/wsj0.8k/si_dt_05/420/420a010x.wav,/mnt/data/wsj0.8k/si_dt_05/052/052a050g.wav,1.3856,-1.3856,/mnt/data/wsj0.8k/si_dt_05/420/420c020c.wav
71,/mnt/data/wsj0.8k/si_dt_05/053/053o020x.wav,/mnt/data/wsj0.8k/si_et_05/441/441c0203.wav,2.1625,-2.1625,/mnt/data/wsj0.8k/si_dt_05/053/053a050s.wav
72,/mnt/data/wsj0.8k/si_dt_05/22h/22hc010x.wav,/mnt/data/wsj0.8k/si_dt_05/422/422c0205.wav,1.9781,-1.9781,/mnt/data/wsj0.8k/si_dt_05/22h/22ha010b.wav
73,/mnt/data/wsj0.8k/si_et_05/441/441c0211.wav,/mnt/data/wsj0.8k/si_et_05/442/442c020k.wav,2.1911,-2.1911,/mnt/data/wsj0.8k/si_et_05/441/441o030t.wav
74,/mnt/data/wsj0.8k/si_dt_05/421/421o0308.wav,/mnt/data/wsj0.8k/si_et_05/444/444o030n.wav,2.2663,-2.2663,/mnt/data/wsj0.8k/si_dt_05/421/421o0305.wav
75,/mnt/data/wsj0.8k/si_dt_05/050/050c0105.wav,/mnt/data/wsj0.8k/si_et_05/444/444c020p.wav,0.94642,-0.94642,/mnt/data/wsj0.8k/si_dt_05/050/050c010o.wav
76,/mnt/data/wsj0.8k/si_dt_05/421/421c0210.wav,/mnt/data/wsj0.8k/si_et_05/442/442c0202.wav,2.0898,-2.0898,/mnt/data/wsj0.8k/si_dt_05/421/421a010f.wav
77,/mnt/data/wsj0.8k/si_et_05/443/443o030q.wav,/mnt/data/wsj0.8k/si_dt_05/052/052o020l.wav,2.0124,-2.0124,/mnt/data/wsj0.8k/si_et_05/443/443c020i.wav
78,/mnt/data/wsj0.8k/si_dt_05/423/423o0308.wav,/mnt/data/wsj0.8k/si_et_05/447/447o030j.wav,1.9242,-1.9242,/mnt/data/wsj0.8k/si_dt_05/423/423c0210.wav
79,/mnt/data/wsj0.8k/si_et_05/446/446o030e.wav,/mnt/data/wsj0.8k/si_et_05/442/442c020s.wav,1.6619,-1.6619,/mnt/data/wsj0.8k/si_et_05/446/446c020h.wav
80,/mnt/data/wsj0.8k/si_dt_05/051/051a050r.wav,/mnt/data/wsj0.8k/si_dt_05/423/423a010v.wav,2.3742,-2.3742,/mnt/data/wsj0.8k/si_dt_05/051/051o0206.wav
81,/mnt/data/wsj0.8k/si_dt_05/420/420a010d.wav,/mnt/data/wsj0.8k/si_dt_05/422/422a010k.wav,1.4116,-1.4116,/mnt/data/wsj0.8k/si_dt_05/420/420c020g.wav
82,/mnt/data/wsj0.8k/si_dt_05/421/421c020x.wav,/mnt/data/wsj0.8k/si_et_05/445/445o0304.wav,1.552,-1.552,/mnt/data/wsj0.8k/si_dt_05/421/421o030m.wav
83,/mnt/data/wsj0.8k/si_et_05/447/447o030n.wav,/mnt/data/wsj0.8k/si_dt_05/423/423o030h.wav,2.2874,-2.2874,/mnt/data/wsj0.8k/si_et_05/447/447o030w.wav
84,/mnt/data/wsj0.8k/si_et_05/444/444c020c.wav,/mnt/data/wsj0.8k/si_dt_05/050/050c010x.wav,0.95182,-0.95182,/mnt/data/wsj0.8k/si_et_05/444/444c0201.wav
85,/mnt/data/wsj0.8k/si_dt_05/22g/22ga010l.wav,/mnt/data/wsj0.8k/si_et_05/444/444c020e.wav,1.2345,-1.2345,/mnt/data/wsj0.8k/si_dt_05/22g/22gc010f.wav
86,/mnt/data/wsj0.8k/si_dt_05/422/422o030q.wav,/mnt/data/wsj0.8k/si_dt_05/051/051a050n.wav,2.4777,-2.4777,/mnt/data/wsj0.8k/si_dt_05/422/422a010m.wav
87,/mnt/data/wsj0.8k/si_dt_05/421/421o030l.wav,/mnt/data/wsj0.8k/si_dt_05/050/050c0102.wav,2.3467,-2.3467,/mnt/data/wsj0.8k/si_dt_05/421/421c020u.wav
88,/mnt/data/wsj0.8k/si_et_05/442/442c0203.wav,/mnt/data/wsj0.8k/si_dt_05/052/052a050h.wav,1.1901,-1.1901,/mnt/data/wsj0.8k/si_et_05/442/442o0308.wav
89,/mnt/data/wsj0.8k/si_dt_05/053/053c010j.wav,/mnt/data/wsj0.8k/si_dt_05/22g/22ga010p.wav,2.0279,-2.0279,/mnt/data/wsj0.8k/si_dt_05/053/053c0111.wav
90,/mnt/data/wsj0.8k/si_et_05/444/444o030o.wav,/mnt/data/wsj0.8k/si_dt_05/421/421c020s.wav,0.67898,-0.67898,/mnt/data/wsj0.8k/si_et_05/444/444c020f.wav
91,/mnt/data/wsj0.8k/si_et_05/444/444c0201.wav,/mnt/data/wsj0.8k/si_dt_05/051/051c010k.wav,1.4178,-1.4178,/mnt/data/wsj0.8k/si_et_05/444/444o030x.wav
92,/mnt/data/wsj0.8k/si_et_05/447/447o030k.wav,/mnt/data/wsj0.8k/si_et_05/443/443c020g.wav,0.23143,-0.23143,/mnt/data/wsj0.8k/si_et_05/447/447c0206.wav
93,/mnt/data/wsj0.8k/si_et_05/443/443o030u.wav,/mnt/data/wsj0.8k/si_et_05/440/440o030n.wav,0.27575,-0.27575,/mnt/data/wsj0.8k/si_et_05/443/443o0311.wav
94,/mnt/data/wsj0.8k/si_et_05/447/447c020n.wav,/mnt/data/wsj0.8k/si_dt_05/22g/22go0107.wav,1.281,-1.281,/mnt/data/wsj0.8k/si_et_05/447/447o030e.wav
95,/mnt/data/wsj0.8k/si_dt_05/423/423c020v.wav,/mnt/data/wsj0.8k/si_et_05/444/444o030h.wav,2.032,-2.032,/mnt/data/wsj0.8k/si_dt_05/423/423c020e.wav
96,/mnt/data/wsj0.8k/si_dt_05/421/421a010r.wav,/mnt/data/wsj0.8k/si_dt_05/050/050o020i.wav,2.2627,-2.2627,/mnt/data/wsj0.8k/si_dt_05/421/421o030h.wav
97,/mnt/data/wsj0.8k/si_dt_05/051/051a0502.wav,/mnt/data/wsj0.8k/si_dt_05/050/050a050s.wav,1.5222,-1.5222,/mnt/data/wsj0.8k/si_dt_05/051/051a0513.wav
98,/mnt/data/wsj0.8k/si_et_05/446/446o030k.wav,/mnt/data/wsj0.8k/si_dt_05/420/420c0201.wav,0.43189,-0.43189,/mnt/data/wsj0.8k/si_et_05/446/446o030o.wav
99,/mnt/data/wsj0.8k/si_dt_05/22g/22ga010v.wav,/mnt/data/wsj0.8k/si_dt_05/422/422c020f.wav,0.56642,-0.56642,/mnt/data/wsj0.8k/si_dt_05/22g/22gc010i.wav
100,/mnt/data/wsj0.8k/si_et_05/443/443c020p.wav,/mnt/data/wsj0.8k/si_dt_05/053/053a050g.wav,1.1115,-1.1115,/mnt/data/wsj0.8k/si_et_05/443/443c0203.wav
101,/mnt/data/wsj0.8k/si_dt_05/22g/22ga010l.wav,/mnt/data/wsj0.8k/si_dt_05/051/051o020j.wav,1.5416,-1.5416,/mnt/data/wsj0.8k/si_dt_05/22g/22gc010y.wav
102,/mnt/data/wsj0.8k/si_dt_05/22g/22ga010w.wav,/mnt/data/wsj0.8k/si_dt_05/420/420a010j.wav,1.9211,-1.9211,/mnt/data/wsj0.8k/si_dt_05/22g/22gc010b.wav
103,/mnt/data/wsj0.8k/si_dt_05/420/420o030g.wav,/mnt/data/wsj0.8k/si_et_05/445/445o0310.wav,0.34707,-0.34707,/mnt/data/wsj0.8k/si_dt_05/420/420a010d.wav
104,/mnt/data/wsj0.8k/si_dt_05/050/050a0513.wav,/mnt/data/wsj0.8k/si_et_05/446/446o0310.wav,2.0807,-2.0807,/mnt/data/wsj0.8k/si_dt_05/050/050o020a.wav
105,/mnt/data/wsj0.8k/si_et_05/441/441o030k.wav,/mnt/data/wsj0.8k/si_et_05/444/444o030s.wav,0.4092,-0.4092,/mnt/data/wsj0.8k/si_et_05/441/441o030j.wav
106,/mnt/data/wsj0.8k/si_et_05/447/447c0207.wav,/mnt/data/wsj0.8k/si_dt_05/051/051c0105.wav,0.10378,-0.10378,/mnt/data/wsj0.8k/si_et_05/447/447o030j.wav
107,/mnt/data/wsj0.8k/si_dt_05/051/051a050d.wav,/mnt/data/wsj0.8k/si_dt_05/421/421c020v.wav,0.21642,-0.21642,/mnt/data/wsj0.8k/si_dt_05/051/051a050t.wav
108,/mnt/data/wsj0.8k/si_et_05/443/443c0208.wav,/mnt/data/wsj0.8k/si_dt_05/420/420c0208.wav,0.43154,-0.43154,/mnt/data/wsj0.8k/si_et_05/443/443c020z.wav
109,/mnt/data/wsj0.8k/si_dt_05/051/051c0104.wav,/mnt/data/wsj0.8k/si_dt_05/052/052c010e.wav,2.4531,-2.4531,/mnt/data/wsj0.8k/si_dt_05/051/051o020t.wav
110,/mnt/data/wsj0.8k/si_et_05/441/441c0201.wav,/mnt/data/wsj0.8k/si_et_05/447/447o030x.wav,1.0706,-1.0706,/mnt/data/wsj0.8k/si_et_05/441/441o0312.wav
111,/mnt/data/wsj0.8k/si_et_05/444/444c0205.wav,/mnt/data/wsj0.8k/si_dt_05/422/422c020b.wav,1.5154,-1.5154,/mnt/data/wsj0.8k/si_et_05/444/444c0207.wav
112,/mnt/data/wsj0.8k/si_dt_05/420/420o030a.wav,/mnt/data/wsj0.8k/si_et_05/445/445o030c.wav,0.36105,-0.36105,/mnt/data/wsj0.8k/si_dt_05/420/420a010o.wav
113,/mnt/data/wsj0.8k/si_et_05/440/440o030i.wav,/mnt/data/wsj0.8k/si_dt_05/22g/22ga010u.wav,1.8356,-1.8356,/mnt/data/wsj0.8k/si_et_05/440/440o030j.wav
114,/mnt/data/wsj0.8k/si_dt_05/422/422c020t.wav,/mnt/data/wsj0.8k/si_et_05/444/444o030u.wav,0.23212,-0.23212,/mnt/data/wsj0.8k/si_dt_05/422/422c0201.wav
115,/mnt/data/wsj0.8k/si_et_05/442/442o0310.wav,/mnt/data/wsj0.8k/si_et_05/446/446o031a.wav,0.49097,-0.49097,/mnt/data/wsj0.8k/si_et_05/442/442c020s.wav
116,/mnt/data/wsj0.8k/si_dt_05/22h/22hc010a.wav,/mnt/data/wsj0.8k/si_et_05/446/446c020c.wav,0.88989,-0.88989,/mnt/data/wsj0.8k/si_dt_05/22h/22ho0108.wav
117,/mnt/data/wsj0.8k/si_dt_05/052/052a050q.wav,/mnt/data/wsj0.8k/si_et_05/446/446o0310.wav,2.2908,-2.2908,/mnt/data/wsj0.8k/si_dt_05/052/052o020n.wav
118,/mnt/data/wsj0.8k/si_dt_05/422/422a010s.wav,/mnt/data/wsj0.8k/si_dt_05/052/052c010e.wav,0.058964,-0.058964,/mnt/data/wsj0.8k/si_dt_05/422/422o0301.wav
119,/mnt/data/wsj0.8k/si_dt_05/050/050a0502.wav,/mnt/data/wsj0.8k/si_dt_05/420/420a010o.wav,1.463,-1.463,/mnt/data/wsj0.8k/si_dt_05/050/050a050j.wav
120,/mnt/data/wsj0.8k/si_dt_05/051/051c0109.wav,/mnt/data/wsj0.8k/si_et_05/444/444c020x.wav,2.0321,-2.0321,/mnt/data/wsj0.8k/si_dt_05/051/051c010c.wav
121,/mnt/data/wsj0.8k/si_dt_05/423/423o0304.wav,/mnt/data/wsj0.8k/si_dt_05/420/420o030k.wav,1.2093,-1.2093,/mnt/data/wsj0.8k/si_dt_05/423/423c0215.wav
122,/mnt/data/wsj0.8k/si_et_05/445/445o030e.wav,/mnt/data/wsj0.8k/si_dt_05/053/053a0501.wav,1.0954,-1.0954,/mnt/data/wsj0.8k/si_et_05/445/445o0307.wav
123,/mnt/data/wsj0.8k/si_et_05/442/442o0307.wav,/mnt/data/wsj0.8k/si_dt_05/050/050a050e.wav,0.25506,-0.25506,/mnt/data/wsj0.8k/si_et_05/442/442o030z.wav
124,/mnt/data/wsj0.8k/si_et_05/441/441o0309.wav,/mnt/data/wsj0.8k/si_et_05/446/446c020t.wav,0.26895,-0.26895,/mnt/data/wsj0.8k/si_et_05/441/441c020f.wav
125,/mnt/data/wsj0.8k/si_dt_05/051/051o0208.wav,/mnt/data/wsj0.8k/si_dt_05/22h/22hc010t.wav,0.58475,-0.58475,/mnt/data/wsj0.8k/si_dt_05/051/051c010i.wav
126,/mnt/data/wsj0.8k/si_et_05/442/442o030g.wav,/mnt/data/wsj0.8k/si_dt_05/050/050a0504.wav,1.2809,-1.2809,/mnt/data/wsj0.8k/si_et_05/442/442c020s.wav
127,/mnt/data/wsj0.8k/si_et_05/444/444c020h.wav,/mnt/data/wsj0.8k/si_dt_05/423/423c020f.wav,0.9633,-0.9633,/mnt/data/wsj0.8k/si_et_05/444/444o030o.wav
